Designator,Mid X,Mid Y,Rotation,Layer
D74,77.0,-330.75,0.0,top
D75,63.0,-314.5,0.0,top
D76,70.0,-314.5,0.0,top
D77,77.0,-314.5,0.0,top
D78,84.0,-314.5,0.0,top
D79,90.96,-314.5,0.0,top
D8,165.0,-24.385,270.0,top
D80,97.96,-314.5,0.0,top
D81,57.94,-398.4,180.0,top
D82,64.94,-398.4,180.0,top
D83,71.94,-398.4,180.0,top
D84,78.94,-398.4,180.0,top
D85,85.94,-398.4,180.0,top
D86,92.94,-398.4,180.0,top
D87,99.94,-398.4,180.0,top
D88,106.94,-398.4,180.0,top
D89,113.94,-398.4,180.0,top
D9,42.955,-61.595,180.0,top
D90,120.94,-398.4,180.0,top
D91,127.94,-398.4,180.0,top
D92,134.94,-398.4,180.0,top
D93,141.94,-398.4,180.0,top
D94,148.94,-398.4,180.0,top
D95,155.94,-398.4,180.0,top
D96,162.94,-398.4,180.0,top
D97,169.94,-398.4,180.0,top
D98,176.94,-398.4,180.0,top
D99,183.94,-398.4,180.0,top
J1,32.0,-74.0,0.0,top
J2,32.0,-202.3,0.0,top
J3,29.5,-255.0,180.0,top
J4,177.69,-253.17,90.0,top
R1,129.75,-31.88,270.0,top
R10,123.2,-293.3,0.0,top
R100,200.04,-242.07,180.0,top
R101,200.04,-238.92,180.0,top
R102,200.04,-235.77,180.0,top
R103,200.04,-232.62,180.0,top
R104,200.04,-229.47,180.0,top
R105,200.04,-226.32,180.0,top
R106,180.31,-249.595,180.0,top
R107,47.45,-271.5,90.0,top
R108,50.6,-271.5,90.0,top
R109,53.75,-271.5,90.0,top
R11,123.2,-296.45,0.0,top
R110,56.9,-271.5,90.0,top
R111,60.05,-271.5,90.0,top
R112,63.2,-271.5,90.0,top
R113,66.35,-271.5,90.0,top
R114,69.5,-271.5,90.0,top
R115,29.75,-310.25,0.0,top
R116,68.1,-344.62,90.0,top
R117,71.25,-344.62,90.0,top
R118,74.4,-344.62,90.0,top
R119,74.25,-305.12,90.0,top
R12,123.2,-299.6,0.0,top
R120,77.4,-305.12,90.0,top
R121,80.55,-305.12,90.0,top
R122,83.7,-305.12,90.0,top
R123,86.85,-305.12,90.0,top
R124,90.0,-305.12,90.0,top
R125,149.0,-378.66,270.0,top
R126,152.15,-378.66,270.0,top
R127,155.3,-378.66,270.0,top
R128,158.45,-378.66,270.0,top
R129,161.6,-378.66,270.0,top
R13,123.2,-302.75,0.0,top
R130,164.75,-378.66,270.0,top
R131,167.9,-378.66,270.0,top
R132,171.05,-378.66,270.0,top
R133,174.0,-378.66,270.0,top
R134,177.15,-378.66,270.0,top
R135,180.3,-378.66,270.0,top
R136,183.45,-378.66,270.0,top
R137,186.6,-378.66,270.0,top
R138,189.75,-378.66,270.0,top
R139,192.9,-378.66,270.0,top
R14,123.2,-305.9,0.0,top
R140,196.05,-378.66,270.0,top
R141,199.15,-378.78,270.0,top
R142,202.3,-378.78,270.0,top
R143,205.45,-378.78,270.0,top
R144,208.6,-378.78,270.0,top
R145,211.75,-378.78,270.0,top
R146,214.9,-378.78,270.0,top
R147,218.05,-378.78,270.0,top
R148,221.2,-378.78,270.0,top
R149,223.98,-257.36,90.0,top
R15,123.2,-309.05,0.0,top
R150,226.73,-257.42,90.0,top
R151,219.18,-301.67,90.0,top
R152,222.33,-301.67,90.0,top
R153,225.48,-301.67,90.0,top
R154,228.63,-301.67,90.0,top
R155,231.78,-301.67,90.0,top
R156,234.93,-301.67,90.0,top
R157,238.08,-301.67,90.0,top
R158,241.23,-301.67,90.0,top
R159,205.98,-337.61,270.0,top
R16,123.2,-312.2,0.0,top
R160,209.13,-337.61,270.0,top
R161,212.28,-337.61,270.0,top
R162,215.43,-337.61,270.0,top
R163,218.58,-337.61,270.0,top
R164,221.73,-337.61,270.0,top
R165,224.88,-337.61,270.0,top
R166,228.03,-337.61,270.0,top
R17,40.43,-49.225,270.0,top
R18,40.43,-28.725,270.0,top
R19,37.93,-36.345,90.0,top
R2,132.75,-31.88,270.0,top
R20,54.93,-56.905,90.0,top
R21,57.43,-49.285,270.0,top
R22,54.93,-28.725,270.0,top
R23,99.62,-53.095,0.0,top
R24,72.93,-56.905,90.0,top
R25,77.93,-56.845,90.0,top
R26,75.43,-49.285,270.0,top
R27,214.93,-108.42,90.0,top
R28,218.08,-108.42,90.0,top
R29,221.23,-108.42,90.0,top
R3,135.75,-31.88,270.0,top
R30,224.38,-108.42,90.0,top
R31,227.53,-108.42,90.0,top
R32,230.68,-108.42,90.0,top
R33,233.83,-108.42,90.0,top
R34,236.98,-108.42,90.0,top
R35,214.68,-173.67,270.0,top
R36,217.83,-173.67,270.0,top
R37,220.98,-173.67,270.0,top
R38,224.13,-173.67,270.0,top
R39,227.28,-173.67,270.0,top
R4,138.75,-31.88,270.0,top
R40,230.43,-173.67,270.0,top
R41,233.58,-173.67,270.0,top
R42,236.73,-173.67,270.0,top
R43,229.53,-144.61,270.0,top
R44,232.68,-144.61,270.0,top
R45,235.83,-144.61,270.0,top
R46,238.98,-144.61,270.0,top
R47,242.13,-144.61,270.0,top
R48,245.28,-144.61,270.0,top
R49,248.43,-144.61,270.0,top
R5,141.75,-31.88,270.0,top
R50,251.58,-144.61,270.0,top
R51,88.5,-177.5,270.0,top
R52,91.65,-177.5,270.0,top
R53,94.8,-177.5,270.0,top
R54,97.95,-177.5,270.0,top
R55,101.1,-177.5,270.0,top
R56,104.25,-177.5,270.0,top
R57,107.4,-177.5,270.0,top
R58,110.55,-177.5,270.0,top
R59,36.63,-76.655,0.0,top
R6,144.75,-31.88,270.0,top
